time,route1,route3,route4,route6,route7,route8,route9,route10,route5,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,
584,-0.308462716,0.133257501,0.119608857,1.010448155,0.858089877,0.736815972,0.998853216,0.839099132,-0.052968546,0.21038266,0.622780004,0.507288885,0.651893589,0.366733001,0.012387623,0.018363512,0.087794659,-0.250300034,0.02946177,,,,,,,,,
585,-0.300451475,0.115270764,0.102177995,1.038810465,0.909882,0.770414357,0.95455849,0.875493684,0.009172635,0.187290327,0.623123734,0.498413095,0.692802459,0.38531031,-0.008920555,0.089054263,0.159718112,-0.224728464,0.038020591,,,,,,,,,
586,-0.314353263,0.156991518,0.067961644,1.028644029,0.881570537,0.771855582,0.994220244,0.810939748,-0.045976196,0.24171744,0.59559035,0.528982918,0.665339981,0.366154638,0.025896091,0.047448937,0.161548684,-0.248738368,0.043842539,,,,,,,,,
587,-0.313581212,0.120634632,0.0994521,1.043309651,0.852135062,0.804874785,0.996155663,0.862141797,-0.084842722,0.20325804,0.579116453,0.506312647,0.673186648,0.336460922,-0.007304811,0.037306052,0.137073286,-0.229109197,0.035971486,,,,,,,,,
588,-0.362237807,0.132095621,0.084702542,1.040639833,0.898461794,0.783761473,0.983696655,0.841559323,-0.101697833,0.209615479,0.591362528,0.551022874,0.65160701,0.367963716,0.037788044,0.043553061,0.142870891,-0.213743159,-0.009993253,,,,,,,,,
589,-0.284118239,0.156939551,0.062495138,1.030766638,0.843954581,0.789634908,1.038068391,0.867545366,-0.085753608,0.210798748,0.611513682,0.512864262,0.61934391,0.369042767,-0.017269873,0.118790227,0.178327008,-0.178390852,-0.016851291,,,,,,,,,
590,-0.279505013,0.092469601,0.067356392,1.077061295,0.884549956,0.811600606,0.91546762,0.834289422,-0.071930162,0.181859462,0.626943494,0.542075408,0.659058742,0.42181759,0.045433479,0.067744613,0.180323797,-0.269115587,0.021056809,,,,,,,,,
591,-0.279179375,0.144229392,0.073368337,1.098124848,0.882239379,0.815456698,1.004607466,0.85252062,-0.016105447,0.196934849,0.6425563,0.517290879,0.66230542,0.383269506,0.012300784,0.100870021,0.205623389,-0.27209116,0.041278814,,,,,,,,,
592,-0.327566344,0.167820069,0.093121927,1.079722564,0.910066158,0.806309542,1.026711281,0.913320736,-0.059673194,0.197243401,0.694966493,0.53865696,0.678261579,0.396250257,0.0353025,0.074649362,0.169944045,-0.206900509,0.029525784,,,,,,,,,
593,-0.283259318,0.191873885,0.082001601,1.103705712,0.956659075,0.825221469,1.019169862,0.937578454,-0.107172414,0.211809152,0.659365938,0.543668527,0.658342784,0.393195561,-0.017046647,0.119785809,0.208207114,-0.228422566,0.057088038,,,,,,,,,
594,-0.308762127,0.17087138,0.101131441,1.078687126,0.913640455,0.835970937,1.051261677,0.914427513,-0.074984548,0.235669468,0.616191143,0.560519192,0.726105967,0.413053687,0.003370862,0.131614598,0.166297043,-0.24345454,0.04469405,,,,,,,,,
