time,route1,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,,,,,,,,,,,
84,0.55617938,-0.001522672,-0.241743398,0.261613659,0.907366802,-0.469997513,1.159368111,0.67459038,-0.505566331,-0.471125136,-0.458833828,-0.797063196,0.658288179,-0.26293631,0.363134565,0.31638274,0.528743873,0.390785289,0.466088277,,,,,,,,,,,,,,,,,,,
85,0.548144434,-0.011959158,-0.204250991,0.272557318,0.913537008,-0.501564401,1.151695691,0.699349475,-0.446455635,-0.560721108,-0.561870516,-0.757709092,0.614359106,-0.344095625,0.356302531,0.289251931,0.504964954,0.403769825,0.484761813,,,,,,,,,,,,,,,,,,,
86,0.50502325,-0.025976018,-0.202158662,0.304448243,0.951443669,-0.365850282,1.132201479,0.671456166,-0.423050698,-0.556800029,-0.629582674,-0.674178529,0.626910374,-0.317444974,0.349870261,0.325455343,0.56341925,0.40770829,0.480865422,,,,,,,,,,,,,,,,,,,
87,0.400891519,-0.02963144,-0.165809522,0.300990388,0.960099525,-0.389584512,1.135949997,0.711005145,-0.397913912,-0.601881809,-0.659081218,-0.576509335,0.601874436,-0.281490118,0.389443845,2.94E-01,0.544376127,0.438631343,0.501568032,,,,,,,,,,,,,,,,,,,
88,0.385559419,-0.049797805,-0.189242083,0.294603972,0.929333518,-0.344839296,1.14303349,0.711228356,-0.341580242,-0.703663304,-0.639825106,-0.479972382,0.608744215,-0.265042157,0.355373512,0.279653171,0.538509613,0.394682701,0.530203625,,,,,,,,,,,,,,,,,,,
89,0.366952896,-0.069854909,-0.172145287,0.351742591,0.903982759,-0.323059193,1.085375642,0.689995121,-0.33537055,-0.669265035,-0.631572312,-0.395634094,0.680437677,-0.289311711,0.400305687,0.275692125,0.539541208,0.370109281,0.47381476,,,,,,,,,,,,,,,,,,,
90,0.443892454,-0.016551292,-0.159791237,0.348114177,0.900510879,-0.213707032,1.100320968,0.684776981,-0.286051112,-0.654616354,-0.677882489,-0.339718041,0.67402626,-0.250938448,0.386106372,0.300539482,0.564410341,0.36953719,0.497300917,,,,,,,,,,,,,,,,,,,
91,0.446310859,-0.04476069,-0.141392386,0.361001354,0.836713118,-0.252467529,1.124115443,0.763140618,-0.28007516,-0.652462056,-0.650181471,-0.360258378,0.666746819,-0.269100679,0.389822745,0.31036227,0.551348088,0.371501053,0.507906768,,,,,,,,,,,,,,,,,,,
92,0.434981826,0.017317983,-0.189479621,0.381726058,0.805445547,-0.20173386,1.124411664,0.77548319,-0.313919599,-0.629136622,-0.717888881,-0.418187633,0.687548238,-0.328144215,0.359814883,0.305891602,0.516739188,0.378653106,0.489104644,,,,,,,,,,,,,,,,,,,
93,0.454426504,-0.011638173,-0.139921598,0.418925795,0.703075945,-0.155396798,1.090395208,0.898717054,-0.295419665,-0.591996978,-0.69032295,-0.373115635,0.660280166,-0.348834014,0.399931773,0.263514721,0.528499538,0.39067096,0.547238783,,,,,,,,,,,,,,,,,,,
