time,route10,route13,route4,route5,route6,route7,route8,route9,route3,route11,route12,route1,route14,route15,route16,route17,route18,route19,route20
1062,-0.743150361,0.447259251,-1.198677053,-1.280057356,0.251751983,-0.267038995,-0.07780497,-0.243308107,0.101203081,-0.290101421,0.786963093,-0.456130107,0.271267771,-0.418348981,0.929806002,0.670595277,-0.041747516,0.565663829,0.715815343
1063,-0.745540324,0.468175779,-1.22398438,-1.282560849,0.236598571,-0.303347002,-0.114899824,-0.279710471,0.133261133,-0.281291442,0.888174677,-0.492965157,0.268180223,-0.398625225,0.951551764,0.747302631,-0.056109514,0.528586606,0.71241759
1064,-0.724593042,0.5102135,-1.216048272,-1.250474797,0.188946228,-0.3503249,-0.175221702,-0.225853084,0.106127245,-0.318757364,0.862025275,-0.496619537,0.231935952,-0.41326377,1.018672941,0.686439506,-0.093286682,0.501521221,0.662635874
1065,-0.807780782,0.472187569,-1.2185553,-1.264739948,0.174092611,-0.36524536,-0.109085386,-0.252241022,0.115277457,-0.298683869,0.85788997,-0.464830117,0.12563178,-0.495520609,0.967608504,0.683683695,-0.107607795,0.510661154,0.626289731
1066,-0.765872064,0.42316587,-1.266563146,-1.302315366,0.158824115,-0.40308029,-0.123750759,-0.232824441,0.076981126,-0.234010779,0.888906821,-0.42261453,0.156638761,-0.497426392,0.987763189,0.703334333,-0.076790595,0.507011406,0.622047168
1067,-0.725086476,0.441911382,-1.281572837,-1.305190181,0.144435198,-0.418030244,-0.139596008,-0.236378949,0.096465297,-0.259934376,0.885444484,-0.448253526,0.061601407,-0.500973823,0.995208813,0.618352299,-0.091892264,0.514695685,0.652685024
1068,-0.68102916,0.461305262,-1.285048095,-1.297779605,0.151711807,-0.410928619,-0.290674046,-0.252353988,0.047090864,-0.206855319,0.858255974,-0.406028801,0.08090029,-0.620593411,0.979260616,0.673006491,-0.061199342,0.51055358,0.695361481
1069,-0.833787293,0.457035882,-1.26670356,-1.290607655,0.147001635,-0.426593855,-0.22706195,-0.312563208,0.101126695,-0.153257116,0.922871279,-0.365303983,0.111313348,-0.612923768,0.985864786,0.691684037,-0.065386718,0.529808719,0.66831755
1070,-0.838484486,0.46486066,-1.25810166,-1.317014542,0.153200385,-0.383396372,-0.208915356,-0.213631702,0.107418715,-0.180423544,0.907265479,-0.346454258,0.106624251,-0.662963936,0.958801384,0.732554813,-0.034853325,0.537088284,0.709403193
1071,-0.841913209,0.426551252,-1.273833966,-1.344049494,0.184119614,-0.354578641,-0.200632873,-0.275331923,0.047003683,-0.186020553,0.913474394,-0.351283039,0.079327133,-0.667166954,0.954748455,0.693329231,-0.062423865,0.486290931,0.624873145
1072,-0.871092785,0.432480885,-1.278571932,-1.280265848,0.180035141,-0.325938892,-0.160356951,-0.25631311,0.087555476,-0.155197898,0.897854556,-0.33248942,0.063040219,-0.647781796,0.938475724,0.712128112,-0.067671427,0.515888809,0.596905792
1073,-0.79449183,0.507800884,-1.27210023,-1.260731239,0.140864539,-0.341052983,-0.164627625,-0.35329252,0.106177589,-0.091461762,0.904751021,-0.359628159,0.139319045,-0.686850318,0.97949934,0.650104097,-0.070549786,0.499715711,0.64958534
1074,-0.775347627,0.502323048,-1.229923956,-1.276964691,0.216129658,-0.311570064,-0.136091608,-0.38083953,0.078492135,-0.118653601,0.887469078,-0.376147055,0.122459401,-0.599770827,0.962350358,0.713529467,-0.088270607,0.517518073,0.609525875
1075,-0.780533891,0.45141025,-1.259261584,-1.315668874,0.131791253,-0.397589959,-0.197654553,-0.362661297,-0.007942084,-0.101179239,0.974570749,-0.334731099,0.117145971,-0.616986545,0.99198327,0.697511844,-0.104762509,0.524162483,0.615753763
1076,-0.751473689,0.469965771,-1.239261795,-1.400820482,0.159899599,-0.401761228,-0.169066253,-0.355294494,0.044479176,-0.128761641,0.978978284,-0.328354685,0.147219575,-0.598425265,0.986561787,0.738154244,-0.075012054,0.564436716,0.656374574
1077,-0.744783267,0.48580484,-1.199530257,-1.348759093,0.200731727,-0.350372904,-0.185911761,-0.338418951,0.039414895,-0.054590694,0.917584253,-0.322182381,0.175541034,-0.534790178,1.004242084,0.720808736,-0.07967703,0.513912591,0.661966188
1078,-0.693687631,0.549968775,-1.272049586,-1.307691439,0.137713839,-0.367062515,-0.179774373,-0.355309119,0.046251099,-0.104798924,0.945563166,-0.280995724,0.20438012,-0.552144412,0.963598678,0.761712725,-0.108891675,0.541612065,0.668765436
1079,-0.699884448,0.566152104,-1.244078762,-1.392753826,0.10978803,-0.349086276,-0.139309472,-0.327282567,0.075358489,-0.041596557,0.97319517,-0.310457696,0.176878548,-0.546203878,0.980657952,0.789505379,-0.10207637,0.5588979,0.628537269
1080,-0.727170433,0.525633637,-1.283410928,-1.340862387,0.081325146,-0.320289338,-0.110985177,-0.297377951,0.02313497,-0.035930549,0.978721241,-0.3388264,0.228126024,-0.550575118,0.940851608,0.794248285,-0.107839699,0.564306444,0.610498386
1081,-0.733476712,0.588967517,-1.356654496,-1.323774565,0.132370561,-0.257477876,-0.151274999,-0.372543984,-0.00476183,0.105575582,0.996681724,-0.309881414,0.277622361,-0.453985529,0.932699982,0.822881511,-0.113541171,0.558315908,0.593244525
1082,-0.76129238,0.605236034,-1.315707195,-1.397348368,0.091780084,-0.253826827,-0.087896196,-0.332802112,0.001468835,0.07703951,0.932610826,-0.316548741,0.306272523,-0.427383328,0.961349386,0.895356726,-0.051540365,0.496543089,0.667171368
1083,-0.710383314,0.64393671,-1.30987509,-1.391359453,0.097272072,-0.257935887,-0.093803083,-0.316428584,-0.017114126,0.128166157,0.971519617,-0.322371116,0.402918172,-0.374175537,0.92178175,0.844387332,-0.045494456,0.592421762,0.66127332
1084,-0.71595226,0.672489715,-1.316124478,-1.396008058,0.056166288,-0.309680105,-0.112266889,-0.322469059,-0.022477196,0.145932121,0.988224273,-0.27115022,0.465914245,-0.311909154,0.971936219,0.883040275,-0.029518241,0.597714037,0.654581928
1085,-0.755850195,0.631214393,-1.321725063,-1.390021985,0.130849876,-0.361223906,-0.162332225,-0.282122836,-0.051540737,0.173254108,1.049142621,-0.208375481,0.539364605,-0.328480251,0.977857072,0.888042439,0.010551992,0.601431278,0.682746849
1086,-0.750875717,0.659210332,-1.2923283,-1.350534756,0.056046909,-0.354430488,-0.111745738,-0.267151241,-0.035700212,0.166339467,1.054972214,-0.19219119,0.544005737,-0.244882473,0.982557861,0.916591438,0.038539892,0.618867544,0.653236134
1087,-0.721502362,0.641237269,-1.309565576,-1.345854758,0.060776327,-0.339050888,-0.140787177,-0.237824199,0.037053203,0.172238222,1.013957894,-0.141065387,0.594582368,-0.216036015,0.941091959,0.875069827,0.054706584,0.646159908,0.680966157
1088,-0.751750762,0.668713998,-1.281033942,-1.350060557,0.066166778,-0.26564387,-0.158216544,-0.301145156,-0.002847481,0.234097817,0.984190925,-0.136246548,0.666739607,-0.233902006,0.934391713,0.912730301,0.048477562,0.616866622,0.649929507
1089,-0.756875491,0.627586267,-1.309629196,-1.356935477,0.047805169,-0.271701359,-0.177215096,-0.273222718,-0.043991903,0.180856885,0.999650155,-0.177144314,0.751262916,-0.206745692,0.893197934,0.872407086,0.064499262,0.621211158,0.597863806
1090,-0.762191248,0.620608749,-1.304673081,-1.351346311,0.098622454,-0.255676857,-0.149203762,-0.325856521,-0.049909996,0.230529769,1.026494206,-0.193541246,0.823630647,-0.144567142,0.908176495,0.922242204,0.069043346,0.624487775,0.614112003
1091,-0.701391651,0.669863155,-1.332822997,-1.345819255,0.10241503,-0.296725688,-0.099184914,-0.275727484,-0.0457732,0.257918766,0.97359368,-0.110680388,0.908063754,-0.071706149,0.900822015,0.926137149,0.096343037,0.618120855,0.629670312
1092,-0.741411428,0.697172532,-1.339495258,-1.294585382,0.096027331,-0.246899648,-0.060571024,-0.282046676,-0.028918105,0.284478361,0.909917636,-0.094674453,0.969754824,-0.077717907,0.904883809,0.91849881,0.112435385,0.610333371,0.645579638
1093,-0.781398814,0.701523422,-1.26369272,-1.381073829,0.088806763,-0.207730949,-0.101069872,-0.28885564,-0.047346463,0.233821414,0.958284431,-0.102011449,0.996124363,-0.051046083,0.909550389,0.922814843,0.071070763,0.61489986,0.671499596
1094,-0.776439215,0.671763938,-1.304416401,-1.318453151,0.138561797,-0.169842506,-0.11940755,-0.261551545,-0.088250814,0.237896674,1.008399704,-0.052162248,0.986724756,0.112039735,0.878803798,0.892480042,0.041988415,0.642881685,0.676021597
1095,-0.794170346,0.698419446,-1.254049613,-1.381329554,0.142405971,-0.131549308,-0.171659709,-0.279145064,-0.060885438,0.242073655,1.000222341,-0.037341287,1.082151234,0.184282107,0.882339082,0.908778091,0.034362173,0.669293734,0.634319859
1096,-0.767291314,0.745779632,-1.271296346,-1.341638978,0.090285661,-0.06945302,-0.099302958,-0.285239436,-0.112566689,0.257438875,0.981976072,-0.078725812,1.11937019,0.245372679,0.77328355,0.935121097,0.118172517,0.661060946,0.695546548
