Var1,Var2_1,Var2_2,Var2_3,Var2_4
322,-14.61715438,-17.4754648,-13.47441365,-17.30634328
323,-14.61172893,-17.44541016,-13.46237631,-17.28900318
324,-14.60621253,-17.41517939,-13.45081611,-17.27193124
325,-14.60060659,-17.38477522,-13.43972568,-17.25512332
326,-14.59491249,-17.35425167,-13.42909775,-17.23857534
327,-14.58913177,-17.32366527,-13.41892516,-17.22228327
328,-14.58328202,-17.29301701,-13.40920087,-17.20624316
329,-14.57736429,-17.26230784,-13.39902765,-17.18996015
330,-14.57137965,-17.23153871,-13.3882455,-17.17392896
331,-14.56532912,-17.20071053,-13.37686383,-17.15814569
332,-14.55921373,-17.16983253,-13.36489193,-17.14260651
333,-14.55312865,-17.13896572,-13.35233891,-17.12730765
334,-14.54710438,-17.10810992,-13.33921376,-17.11224538
335,-14.54113998,-17.07726498,-13.32553803,-17.09741605
336,-14.53523451,-17.04643071,-13.31132024,-17.0821663
337,-14.52938707,-17.01560696,-13.29656877,-17.06715238
338,-14.52357885,-16.98479357,-13.28129186,-17.05237066
339,-14.51779095,-16.95406288,-13.26549765,-17.03781754
340,-14.51202307,-16.92343679,-13.249181,-17.02348948
341,-14.50627489,-16.89291367,-13.23227996,-17.00938301
342,-14.50054611,-16.86249193,-13.21480355,-16.99528382
343,-14.49484152,-16.83217,-13.19676068,-16.98140268
344,-14.48917711,-16.80194634,-13.17816011,-16.96773621
345,-14.48355227,-16.7718774,-13.15901046,-16.9542811
346,-14.47796638,-16.74204958,-13.13954673,-16.94103407
347,-14.47241885,-16.71245915,-13.12026454,-16.9279919
348,-14.46690908,-16.68310245,-13.10116108,-16.91515143
349,-14.46142735,-16.65397587,-13.08223358,-16.90234206
350,-14.45597304,-16.62507583,-13.06347933,-16.88973079
351,-14.45054571,-16.59639348,-13.04489565,-16.87731455
352,-14.44514496,-16.56776238,-13.02595359,-16.86509032
353,-14.43977036,-16.53918176,-13.00607391,-16.85305515
354,-14.43443339,-16.51065081,-12.9852711,-16.8412061
355,-14.42913804,-16.48216878,-12.96355944,-16.82919657
356,-14.42388368,-16.45373491,-12.940953,-16.81737278
357,-14.41866967,-16.42534846,-12.91746559,-16.80573184
358,-14.41349539,-16.39867942,-12.89311632,-16.79427092
359,-14.40824195,-16.37452864,-12.8679217,-16.78298725
360,-14.40277346,-16.35285717,-12.84189479,-16.77187808
361,-14.39709327,-16.33362668,-12.81504847,-16.76094072
362,-14.39120463,-16.31679942,-12.78739541,-16.74938412
363,-14.38511079,-16.30233821,-12.75894808,-16.73800625
364,-14.37881554,-16.2899716,-12.73037407,-16.72680433
365,-14.37232448,-16.27913382,-12.70185009,-16.71577566
366,-14.36564065,-16.26980124,-12.67337535,-16.70491754
367,-14.35876701,-16.26195057,-12.64494909,-16.69422735
368,-14.3517065,-16.25555889,-12.61657057,-16.68370248
369,-14.34446203,-16.25060365,-12.58823905,-16.68445043
370,-14.33707477,-16.24706263,-12.55891378,-16.68518682
371,-14.32954907,-16.24258425,-12.52855234,-16.68591182
372,-14.32188708,-16.23704134,-12.49717077,-16.68662561
373,-14.31409089,-16.23045037,-12.46478483,-16.68732836
374,-14.30616259,-16.22282754,-12.43141007,-16.68802024
375,-14.29822037,-16.21418881,-12.39706618,-16.68430245
376,-14.29031678,-16.20454989,-12.36180566,-16.68064215
377,-14.2824512,-16.19394746,-12.32564269,-16.67703847
378,-14.27462307,-16.18241181,-12.28859122,-16.67349051
379,-14.26683179,-16.16995738,-12.250665,-16.66999742
