Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6
236,3.491651391,-0.944394149,-10.10927059,-11.51903361,-4.560922498,4.331614946
237,3.686122462,-0.740655002,-10.31031618,-11.38457629,-4.332903566,4.595253293
238,3.87650863,-0.599395754,-10.53818083,-11.24932756,-4.105979752,4.857737529
239,4.00017471,-0.458136505,-10.76604549,-11.11329964,-3.88124905,5.119085501
240,4.12384079,-0.316877256,-10.99391015,-10.97650459,-3.65907438,5.379314783
241,4.24750687,-0.175618007,-11.22177481,-10.83895428,-3.439416215,5.638442674
242,4.37117295,-0.034358759,-11.44963947,-10.70085671,-3.222235637,5.896486208
243,4.49483903,0.076158076,-11.67750413,-10.56233124,-3.007494329,6.152659505
244,4.61850511,0.171432874,-11.8922247,-10.42338447,-2.795154567,6.405844849
245,4.691795723,0.266707671,-12.04998758,-10.28402292,-2.586441022,6.656088447
246,4.738416972,0.361982469,-12.20775046,-10.14425301,-2.382591367,6.903435795
247,4.785038221,0.457257266,-12.36551334,-10.00408105,-2.183530381,7.147931682
248,4.83165947,0.544702768,-12.52327622,-9.863513258,-1.989184008,7.389620206
249,4.878280718,0.500616112,-12.68103909,-9.722584086,-1.799479336,7.628544785
250,4.924901967,0.456529455,-12.83880197,-9.581492432,-1.61434458,7.861649275
251,4.952382541,0.412442798,-12.99986074,-9.440240808,-1.434203869,8.0886105
252,4.922441093,0.368356141,-13.17080719,-9.298831688,-1.260464371,8.309523465
253,4.892499645,0.324269485,-13.34175364,-9.157267508,-1.093027094,8.524481708
254,4.862558197,0.253102998,-13.51270009,-9.015550665,-0.931794571,8.733577319
255,4.832616749,0.148001028,-13.68364654,-8.873683521,-0.776670846,8.936900962
256,4.8026753,0.042899058,-13.85459299,-8.731668401,-0.627561448,9.134396496
257,4.772733852,-0.062202912,-14.02553944,-8.589887959,-0.484391043,9.325887475
258,4.700469075,-0.167304881,-14.18758572,-8.448575136,-0.349878962,9.511466759
259,4.620509147,-0.272406851,-14.33005163,-8.307722701,-0.223891302,9.691225773
260,4.540549219,-0.45386622,-14.47251754,-8.167323533,-0.106296234,9.865254527
261,4.460589291,-0.65080344,-14.61498345,-8.027370624,0.003036034,10.03364164
262,4.380629363,-0.847740659,-14.75744936,-7.887857071,0.104233287,10.19647436
263,4.300669435,-1.044677879,-14.89991527,-7.748776079,0.197421333,10.35060478
264,4.201142399,-1.241615099,-15.04238118,-7.610086348,0.282087279,10.49547451
265,4.07694379,-1.435254957,-15.19015653,-7.471487622,0.358164585,10.63122677
266,3.952745181,-1.617142682,-15.34678096,-7.332978494,0.425786074,10.75800256
267,3.828546572,-1.799030406,-15.50340539,-7.194557579,0.485082517,10.87594071
268,3.704347963,-1.98091813,-15.66002981,-7.056223511,0.53618266,10.98517789
269,3.580149355,-2.162805854,-15.81665424,-6.917974949,0.579213259,11.08570028
270,3.452435719,-2.344693578,-15.97327867,-6.779810569,0.614927054,11.17728656
271,3.236846423,-2.571247284,-16.1299031,-6.64172907,0.644019747,11.26007493
272,3.021257127,-2.826751164,-16.25799768,-6.504491106,0.666593734,11.33420145
273,2.805667831,-3.082255043,-16.34941102,-6.368604447,0.682749828,11.39980006
274,2.590078535,-3.337758922,-16.44082436,-6.234048197,0.692587281,11.45700267
275,2.374489239,-3.593262802,-16.5322377,-6.100801781,0.696203812,11.5059391
276,2.158899943,-3.848766681,-16.62365104,-5.968844941,0.693841235,11.54744617
277,1.969268246,-4.11320664,-16.71506438,-5.838157734,0.685975892,11.5818569
278,1.794581834,-4.377697085,-16.80647772,-5.708720526,0.672692883,11.60928105
279,1.619895421,-4.64218753,-16.88011833,-5.580402005,0.654075994,11.62982665
280,1.445209008,-4.906677976,-16.9359862,-5.451942905,0.630207713,11.6436001
281,1.270522595,-5.171168421,-16.99185407,-5.323345401,0.601169253,11.65070611
282,1.095836183,-5.409692644,-17.04772194,-5.194611633,0.56702802,11.65129154
283,0.90184437,-5.606212685,-17.10358981,-5.065743708,0.527473877,11.64559933
284,0.643501226,-5.802732726,-17.15945768,-4.936743702,0.482590535,11.63372659
285,0.385158082,-5.999252767,-17.21532555,-4.807613656,0.43246041,11.61576889
286,0.126814937,-6.195772808,-17.2465155,-4.678355582,0.377164642,11.59182033
287,-0.131528207,-6.392292849,-17.25851152,-4.551316774,0.316783121,11.56197357
288,-0.389871351,-6.61786781,-17.27050753,-4.428221897,0.251394496,11.52631981
289,-0.648214496,-6.85213804,-17.28250354,-4.309009958,0.183115881,11.4827346
290,-0.885600756,-7.086408269,-17.29449956,-4.193620908,0.112542359,11.43041796
291,-1.118600692,-7.320678499,-17.30649557,-4.081995624,0.039709421,11.36950494
292,-1.351600628,-7.554948728,-17.31849159,-3.974075901,-0.035347991,11.30012849
293,-1.584600564,-7.780912715,-17.31261411,-3.869804431,-0.112595476,11.22241947
294,-1.8176005,-7.962378969,-17.29601254,-3.769222886,-0.191999164,11.13650677
295,-2.050600436,-8.143845223,-17.27941096,-3.673806887,-0.273800783,11.042657
296,-2.29103197,-8.325311477,-17.26280939,-3.583476549,-0.358194059,10.94164511
297,-2.541597502,-8.506777731,-17.24620782,-3.49815322,-0.445138912,10.83358185
298,-2.792163034,-8.688243985,-17.22960625,-3.417759469,-0.534595882,10.71857629
299,-3.042728567,-8.861303725,-17.21300467,-3.342219058,-0.626526119,10.59673577
300,-3.293294099,-9.027343591,-17.19200085,-3.271456931,-0.720891374,10.46816601
301,-3.543859631,-9.193383458,-17.168996,-3.205399192,-0.817564321,10.33297107
302,-3.793844399,-9.359423324,-17.14599115,-3.144432292,-0.916300046,10.19319805
303,-4.014210168,-9.525463191,-17.12298631,-3.088854934,-1.017066649,10.04997846
304,-4.234575937,-9.691503057,-17.09998146,-3.038583767,-1.119832722,9.903365594
305,-4.454941707,-9.794697088,-17.07697661,-2.99353673,-1.224567343,9.753411938
306,-4.675307476,-9.893348045,-17.05397176,-2.953633033,-1.331240069,9.600169154
307,-4.895673246,-9.991999003,-17.02760746,-2.918793134,-1.439819897,9.443688108
308,-5.116039015,-10.09064996,-17.00012335,-2.88893872,-1.550260058,9.284095143
309,-5.316391757,-10.18930092,-16.97263924,-2.863993311,-1.662531783,9.122010347
310,-5.504236358,-10.29269567,-16.94515512,-2.843896843,-1.776606746,8.957472256
311,-5.692080958,-10.4061606,-16.91767101,-2.828574327,-1.89245706,8.790518811
312,-5.879925559,-10.51962553,-16.8901869,-2.817951935,-2.010055269,8.621187364
313,-6.067770159,-10.63309045,-16.86270278,-2.811956977,-2.129374343,8.449514692
314,-6.255614759,-10.74655538,-16.79572285,-2.810517892,-2.250046799,8.275537002
315,-6.442012116,-10.8600203,-16.7196285,-2.813564222,-2.371973048,8.099683162
316,-6.623015202,-10.94686854,-16.64353414,-2.8210266,-2.495133698,7.922257442
317,-6.804018287,-11.0227321,-16.56743979,-2.833082434,-2.61950966,7.743284151
318,-6.985021373,-11.09859567,-16.49134544,-2.849881817,-2.74508214,7.562787221
