time,route1,route2,route3,route4,route5
146,-1.5094148148551,-0.418514684960856,0.669266328386611,0.00244775019528229,-0.600712082490057
147,-1.42557680793109,-0.353111853339658,0.756227306200925,0.0826765291342318,-0.514982687906462
148,-1.34217221846579,-0.288467863969524,0.842508987091957,0.16214601206681,-0.430156323057203
149,-1.25922389976763,-0.224524297624174,0.928056484950322,0.240815285415975,-0.346312698884376
150,-1.17675520732822,-0.161222047677809,1.01281435251042,0.318643233825522,-0.263531040625248
151,-1.09478998425021,-0.0985019027857768,1.09672665532517,0.395588596440613,-0.181889820686873
152,-1.01335254570781,-0.0363051326832683,1.17973704692678,0.471610023664189,-0.1014664938907
153,-0.932467662461125,0.025425926909395,1.26178884505153,0.546666134295897,-0.0223372360994182
154,-0.852160543446272,0.0867472942867813,1.34282510880469,0.620715572959826,0.0554233127747038
155,-0.772456817463407,0.147712770648905,1.42278871664016,0.693717067726519,0.131742300397337
156,-0.693382513987059,0.208373381815295,1.50162244502772,0.765629487834234,0.206548907313516
157,-0.614964043124628,0.268776836617987,1.57926904767996,0.836411901415063,0.279774584985177
158,-0.537228174748781,0.3289670057255,1.65567133520932,0.906023633130371,0.351353285654876
159,-0.460202016831403,0.388983424522767,1.73077225508564,0.974424321621157,0.421221683157085
160,-0.38391299300781,0.448860823520746,1.80451497176336,1.04157397667875,0.489319383833224
161,-0.308388819401121,0.508628689595462,1.87684294684761,1.10743303604153,0.555589126744503
162,-0.233657480736548,0.568310861161205,1.94770001916787,1.17196242172461,0.619976972417744
163,-0.159747205777589,0.627925160166442,2.01703048462845,1.23512359578955,0.682432479403335
164,-0.086686442117216,0.68748306356657,2.08477917570485,1.29687861546226,0.742908867971263
165,-0.0145038303559888,0.746989416675384,2.15089154045588,1.35719018750868,0.801363170320505
166,0.0567718222978035,0.80644219052873,2.21531372092204,1.41602172177847,0.857756366728871
167,0.127111568971434,0.865832285112111,2.27799263078149,1.47333738382859,0.912053507124292
168,0.196486350578386,0.925143380008937,2.33887603213639,1.52910214654031,0.964223817614612
169,0.264867023741282,0.984351833721389,2.39791261130345,1.58328184064455,1.01424079157055
170,0.332224389148417,1.043426632602,2.45505205348431,1.63584320407225,1.06208226491594
171,0.398529220307774,1.10232939001425,2.51024511619301,1.68675393004875,1.10773047533985
172,0.463752292659544,1.16101439601571,2.56344370131997,1.73598271385268,1.15117210520711
173,0.527864413009777,1.21942871753039,2.61460092571392,1.78349929816257,1.19239830800603
174,0.590836449243807,1.27751234864981,2.66367119016582,1.82927451691625,1.23140471823568
175,0.652639360282917,1.33519841037669,2.71061024668104,1.87328033761094,1.26819144469844
176,0.713244226242334,1.39241339880398,2.75537526392938,1.9154899019742,1.30276304722721
177,0.772622278751441,1.44907748040604,2.79792489076489,1.95587756493873,1.33512849694057
178,0.830744931395179,1.50510483281122,2.83821931771101,1.99441893185663,1.36530112018197
179,0.887583810237438,1.56040402912803,2.87622033630973,2.031090893892,1.39329852636201
180,0.943110784384009,1.61487846361036,2.91189139623678,2.06587166153312,1.41914251998463
181,0.9972979965457,1.66842681617626,2.94519766008898,2.09874079616923,1.44285899719852
182,1.05011789356013,1.7209435530373,2.97610605575299,2.12967923967945,1.46447782727477
183,1.10154325683203,1.7723194604567,3.0045853262693,2.15866934198529,1.48403271946928
184,1.15154723265021,1.82244220843335,3.03060607710915,2.18569488652084,1.50156107578499
185,1.20010336234173,1.87119694090803,3.05414082078606,2.21074111357883,1.51710383020269
186,1.24718561222226,1.91846688890929,3.07516401872856,2.23379474149371,1.5307052750013
187,1.29276840330248,1.96413400289886,3.09365212034462,2.25484398562674,1.54241287483805
188,1.33682664071009,2.00807960044413,3.10958359921339,2.27387857512151,1.55227706930596
189,1.37933574278898,2.05018502523581,3.12293898634412,2.29088976740221,1.56035106472998
190,1.42027166983474,2.09033231338556,3.13370090044741,2.30587036039035,1.5666906160049
191,1.45961095242866,2.12840486288033,3.14185407516843,2.31881470241959,1.57135379931589
192,1.49733071933141,2.16428810203833,3.14738538323694,2.32971869983215,1.57440077661755
193,1.5334087248988,2.19787015280605,3.15028385749408,2.33857982224385,1.57589355277928
194,1.56782337598169,2.22904248475666,3.15054070876084,2.34539710546896,1.57589572633236
195,1.60055375827378,2.25770055569694,3.14814934051845,2.35017115209949,1.57447223477903
196,1.63157966207126,2.28374443486343,3.14310536037612,2.35290412973788,1.57168909544447
197,1.66088160740868,2.30707940478681,3.13540658830685,2.35359976688548,1.5676131428696
198,1.68844086853617,2.32761653802701,3.12505306163736,2.35226334649323,1.56231176375598
199,1.71423949770516,2.34527324512959,3.11204703678353,2.34890169718488,1.55585263048315
200,1.73826034822828,2.35997379032468,3.09639298772799,2.34352318216669,1.54830343422432
201,1.76048709678225,2.37164977168286,3.07809760124209,2.3361376858416,1.53973161868775
202,1.78090426492217,2.38024056265666,3.05716976885958,2.32675659814931,1.53020411550842
203,1.79949723977725,2.3856937121699,3.03362057561481,2.31539279665788,1.51978708230853
204,1.81625229389808,2.38796530066904,3.00746328556359,2.30206062643566,1.50854564443451
205,1.83115660422791,2.38702024981929,2.97871332411012,2.28677587773639,1.49654364136449
206,1.84419827017045,2.38283258381114,2.94738825716848,2.26955576153374,1.48384337876168
207,1.85536633072833,2.37538564053989,2.91350776719283,2.25041888294507,1.47050538712748
208,1.86465078068663,2.364672231228,2.87709362611498,2.22938521258773,1.45658818798274
209,1.87204258581912,2.35069474737718,2.83816966523375,2.20647605591452,1.4421480684763
210,1.87753369709308,2.3334652142611,2.79676174210493,2.18171402057846,1.42723886528767
211,1.88111706385251,2.3130052904993,2.75289770448599,2.15512298187993,1.41191175865461
212,1.88278664595921,2.28934621358522,2.70660735139452,2.12672804635264,1.39621507731759
213,1.88253742487333,2.26252869157472,2.65792239134369,2.09655551354802,1.38019411513081
214,1.88036541365526,2.23260274147454,2.60687639782328,2.06463283608009,1.36389096004466
215,1.87626766587358,2.19962747519868,2.55350476209886,2.03098857799656,1.34734433611653
216,1.87024228340377,2.16367083428558,2.49784464340627,1.99565237154367,1.33058945915718
217,1.86228842310462,2.12480927488515,2.43993491662289,1.95865487239585,1.31365790656675
218,1.85240630235993,2.08312740483271,2.37981611750125,1.92002771342315,1.29657750186024
219,1.8405972034757,2.03871757492261,2.31753038555439,1.8798034570721,1.27937221432553
220,1.8268634769228,1.991679426778,2.25312140468654,1.83801554643786,1.26206207419875
221,1.81120854341813,1.94211939998082,2.18663434166611,1.79469825510774,1.24466310368195
222,1.79363689483758,1.89015020137814,2.11811578254149,1.749886635858,1.22718726406714
223,1.77415409395647,1.83589023971401,2.0476136671038,1.70361646828807,1.20964241916863
224,1.75276677301362,1.77946302894999,1.97517722150352,1.65592420547768,1.19203231520277
225,1.72948263109775,1.72099656383001,1.90085688913131,1.6068469197543,1.17435657719092
226,1.70431043035562,1.6606226714155,1.82470425987588,1.55642224765967,1.15661072189769
227,1.67725999102308,1.59847634246413,1.7467719978744,1.50468833420543,1.13878618725304
228,1.64834218528176,1.53469504664826,1.66711376787376,1.45168377650913,1.12087037814303
229,1.61756892994549,1.46941803570676,1.58578416032262,1.39744756690302,1.10284672839129
230,1.58495317798205,1.40278563869637,1.50283861531677,1.34201903560854,1.08469477869058
231,1.55050890887741,1.33493855355466,1.41833334552187,1.28543779307064,1.06639027018266
232,1.51425111785095,1.26601713920649,1.33232525819932,1.22774367204619,1.04790525332423
233,1.4761958039318,1.19616071243888,1.24487187646245,1.16897666954145,1.02920821161793
234,1.43635995690773,1.12550685373607,1.15603125989157,1.10917688869356,1.01026419973001
235,1.39476154315957,1.05419072620728,1.06586192463701,1.04838448069155,0.991034995460935
236,1.35141949039548,0.982344411653787,0.974422763140572,0.98663958683162,0.971479264981837
237,1.30635367130097,0.910096267712029,0.88177296360596,0.923982280801968,0.951552740698514
238,1.25958488612177,0.837570309873607,0.787971929349369,0.860452511291632,0.931208411056111
239,1.21113484419815,0.764885622024447,0.69307919816134,0.796090045017256,0.910396721551539
240,1.16102614447063,0.69215579896368,0.59715436181107,0.730934410261444,0.889065786177531
241,1.1092822549785,0.619488424159349,0.500256985823837,0.66502484101495,0.867161608481982
242,1.05592749137338,0.546984585775088,0.402446529662007,0.598400221814353,0.844628311389184
243,1.00098699447212,0.474738433758772,0.303782267438905,0.531099033365847,0.821408374895713
244,0.944486706873901,0.402836780525519,0.204323209294236,0.463159299043936,0.79744288072344
245,0.886453348668297,0.331358747491258,0.104128023558346,0.394618532352981,0.77267176298517
246,0.826914392261113,0.260375459424659,0.003254959831407,0.325513685437742,0.747034063895282
247,0.765898036347837,0.189949788283452,-0.0982382268982425,0.255881098727238,0.720468193538229
248,0.703433179063794,0.12013614789036,-0.200294350973964,0.185756451794498,0.692912192692021
249,0.639549390342239,0.0509803404838807,-0.302856869508344,0.11517471551298,0.664303997691943
250,0.574276883512619,-0.0174805441460268,-0.405869954419983,0.0441701055878818,0.634581706311974
251,0.507646486172238,-0.0852181765571984,-0.509278562953762,-0.0272239624613789,0.603683843637143
252,0.439689610364889,-0.152212982540835,-0.613028506571137,-0.0989749167934248,0.571549626900166
253,0.37043822210209,-0.218454085276468,-0.717066518099936,-0.171051071140971,0.538119228259509
254,0.299924810262681,-0.283939195368127,-0.82134031703623,-0.243421665041709,0.50333403450388
