time,route1,route2,route3,route4,route5,route6,route7,route8,route9
322,-2.1198460086201,-0.985548888603456,0.0321332334004806,-0.590015535119944,-1.23321372437934,-0.680722991823139,-2.19319975838085,-1.08001495545063,-0.464527600324594
323,-2.08274412831887,-0.950733150646318,0.0709392922862687,-0.553673781167295,-1.19457866535707,-0.645093945694512,-2.15020447438108,-1.04883506762455,-0.430322779275897
324,-2.04569297533837,-0.915966603875514,0.109693375364658,-0.517416115714301,-1.15599893659527,-0.609581189728118,-2.10724737767165,-1.01772375317509,-0.396284447391306
325,-2.00869400902626,-0.881251560792923,0.148391688572381,-0.481245497289873,-1.11748040157402,-0.5741869016084,-2.06433069808519,-0.986682076510682,-0.362413462186169
326,-1.97174870858082,-0.846590364160964,0.187030399960878,-0.445164906134497,-1.07902898114631,-0.538913271450294,-2.02145668640667,-0.955711121450056,-0.328710681904451
327,-1.93485857296867,-0.81198538650932,0.225605640560145,-0.409177343491662,-1.04065064994857,-0.503762501419661,-1.97862761405574,-0.924811991095019,-0.295176965517906
328,-1.89802512083567,-0.77743902963134,0.264113505256073,-0.373285830891254,-1.00235143277017,-0.468736805346929,-1.93584577276341,-0.893985807697104,-0.261813172722259
329,-1.86124989041117,-0.742953724070083,0.30255005368112,-0.337493409425243,-0.964137400884276,-0.433838408335369,-1.89311347424326,-0.863233712518858,-0.228620163930263
330,-1.82453443940519,-0.708531928594753,0.340911311117931,-0.30180313901615,-0.926014668342928,-0.399069546364288,-1.85043304985719,-0.832556865689068,-0.195598800261932
331,-1.7878803448991,-0.6741761296669,0.379193269415712,-0.266218097678186,-0.88798938823858,-0.364432465886722,-1.80780685027555,-0.8019564460524,-0.162749943531753
332,-1.75128920322943,-0.639888840897207,0.41739188791906,-0.23074138077152,-0.850067748935053,-0.329929423421067,-1.76523724513205,-0.771433651013371,-0.130074456232861
333,-1.71476262986493,-0.605672602492681,0.455503094408982,-0.195376100249606,-0.812255970270405,-0.295562685138957,-1.72272662267335,-0.740989696374764,-0.0975732015183848
334,-1.6783022592771,-0.571529980694453,0.493522786055824,-0.16012538390026,-0.774560299734415,-0.261334526446941,-1.6802773894034,-0.71062581617039,-0.0652470431798036
335,-1.64190974480395,-0.537463567206585,0.531446830383808,-0.124992374580297,-0.736987008623411,-0.227247231563371,-1.63789196972295,-0.680343262492325,-0.033096845622427
336,-1.60558675850713,-0.503475978615594,0.56927106624694,-0.0899802294440887,-0.699542388175066,-0.19330309309132,-1.59557280556334,-0.650143305312846,-0.00112347383796796
337,-1.56933499102252,-0.469569855801456,0.606991304815926,-0.0550921191663707,-0.662232745686049,-0.159504411585765,-1.55332235601635,-0.620027232300705,0.0306722066257406
338,-1.53315615140438,-0.435747863339635,0.644603330575881,-0.0203312271595272,-0.625064400615073,-0.125853495116512,-1.51114309695823,-0.589996348632246,0.0622893296979403
339,-1.49705196696273,-0.402012688894944,0.682102902334463,0.0142992512146661,-0.588043680674222,-0.0923526588273411,-1.46903752066947,-0.560051976797049,0.093727028820896
340,-1.46102418309462,-0.368367042606952,0.719485754240196,0.0487961094382621,-0.551176917911263,-0.0590042244898186,-1.42700813544969,-0.530195456398413,0.124984436988676
341,-1.42507456310844,-0.334813656467239,0.756747596810644,0.0831561306351583,-0.514470444785734,-0.0258105200531773,-1.38505746522815,-0.500428143948645,0.156060686788791
342,-1.38920488804255,-0.301355283688855,0.79388411797009,0.117376088373986,-0.477930590241486,0.00722612080926055,-1.34318804916939,-0.470751412659072,0.186954910446521
343,-1.353416956477,-0.267994698067909,0.830890984096528,0.151452747475152,-0.441563675778627,0.0401033591582483,-1.30140244127459,-0.441166652225059,0.217666239872043
