time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,,,,,,,,,
99,-1.900178078,-1.916452553,-1.957744244,-1.617092392,-1.484331732,-1.827500601,-1.805558759,-2.033531431,-1.825090591,-1.962154555,,,,,,,,,,
100,-1.924005405,-1.914645946,-1.952163063,-1.623596396,-1.541904505,-1.790310811,-1.794590991,-2.032799099,-1.836263964,-1.928515315,,,,,,,,,,
101,-1.947832733,-1.912839339,-1.946581882,-1.6301004,-1.599477277,-1.753121021,-1.783623223,-2.032066767,-1.847437337,-1.894876076,,,,,,,,,,
102,-1.97166006,-1.911032733,-1.941000701,-1.636604404,-1.65705005,-1.715931231,-1.772655455,-2.031334434,-1.858610711,-1.865857357,,,,,,,,,,
103,-1.995487387,-1.895467568,-1.93541952,-1.643108408,-1.714622823,-1.678741441,-1.754318018,-2.025465766,-1.870974474,-1.849954955,,,,,,,,,,
104,-2.019314715,-1.868137838,-1.929838338,-1.649612412,-1.772195596,-1.641551652,-1.729678979,-2.012106607,-1.901590891,-1.834052553,,,,,,,,,,
105,-2.043142042,-1.840808108,-1.919905806,-1.656116416,-1.829768368,-1.604361862,-1.70503994,-1.998747447,-1.932207307,-1.81815015,,,,,,,,,,
106,-2.046064865,-1.813478378,-1.901146246,-1.68238048,-1.887341141,-1.567172072,-1.680400901,-1.985388288,-1.962823724,-1.802247748,,,,,,,,,,
107,-2.008920721,-1.786148649,-1.882386687,-1.715004104,-1.944913914,-1.599344444,-1.655761862,-1.972029129,-1.99344014,-1.786345345,,,,,,,,,,
108,-1.971776577,-1.758818919,-1.863627127,-1.747627728,-1.982588388,-1.644522222,-1.631122823,-1.95866997,-2.024056557,-1.770442943,,,,,,,,,,
109,-1.934632432,-1.731489189,-1.844867568,-1.780251351,-1.976113514,-1.6897,-1.606483784,-1.945310811,-2.054672973,-1.754540541,,,,,,,,,,
110,-1.897488288,-1.704159459,-1.826108008,-1.812874975,-1.969638639,-1.734877778,-1.581844745,-1.931951652,-2.085289389,-1.738638138,,,,,,,,,,
111,-1.860344144,-1.727565265,-1.807348448,-1.845498599,-1.963163764,-1.780055556,-1.593177878,-1.918592492,-2.115905806,-1.762182983,,,,,,,,,,
112,-1.8232,-1.769322222,-1.788588889,-1.878122222,-1.956688889,-1.825233333,-1.617522222,-1.953288889,-2.146522222,-1.791855556,,,,,,,,,,
113,-1.786055856,-1.811079179,-1.769829329,-1.910745846,-1.950214014,-1.870411111,-1.641866567,-1.991015816,-2.177138639,-1.821528128,,,,,,,,,,
114,-1.748911712,-1.852836136,-1.75106977,-1.939912412,-1.943739139,-1.915588889,-1.666210911,-2.028742743,-2.174035836,-1.851200701,,,,,,,,,,
115,-1.711767568,-1.894593093,-1.775611111,-1.922840841,-1.937264264,-1.95497027,-1.690555255,-2.06646967,-2.165775976,-1.880873273,,,,,,,,,,
