time,force_data,sigup,sigdown
55.2,0.032698951,0.09527805,-0.029880148
55.3,0.033622493,0.09608479,-0.028839805
55.4,0.034581243,0.096928612,-0.027766126
55.5,0.035575882,0.097810191,-0.026658427
55.6,0.036607051,0.098730159,-0.025516058
55.7,0.037675347,0.099689101,-0.024338406
55.8,0.038781329,0.100687553,-0.023124894
55.9,0.039925511,0.101726006,-0.021874985
56,0.041108363,0.102804904,-0.020588178
56.1,0.042330313,0.103924641,-0.019264015
56.2,0.043591746,0.105085567,-0.017902076
56.3,0.044893,0.106287981,-0.016501982
56.4,0.04623437,0.107532138,-0.015063398
56.5,0.047616106,0.108818243,-0.013586031
56.6,0.049038415,0.110146457,-0.012069628
56.7,0.050501455,0.111516894,-0.010513983
56.8,0.052005344,0.112929621,-0.008918933
56.9,0.053550152,0.114384664,-0.007284359
57,0.055135906,0.115882,-0.005610188
57.1,0.056762587,0.117421565,-0.003896391
57.2,0.058430134,0.119003254,-0.002142986
57.3,0.06013844,0.120626917,-0.000350038
57.4,0.061887354,0.122292365,0.001482344
57.5,0.063676684,0.123999368,0.003353999
57.6,0.065506191,0.125747658,0.005264724
57.7,0.067375596,0.12753693,0.007214262
57.8,0.069284576,0.129366839,0.009202312
57.9,0.071232765,0.131237007,0.011228523
58,0.073219756,0.133147021,0.013292492
58.1,0.075245101,0.135096434,0.015393768
58.2,0.077308308,0.137084767,0.017531849
58.3,0.079408846,0.13911151,0.019706182
58.4,0.081546143,0.141176122,0.021916164
58.5,0.083719586,0.143278035,0.024161137
58.6,0.085928523,0.145416653,0.026440393
58.7,0.088172262,0.147591353,0.02875317
58.8,0.090450071,0.149801488,0.031098654
58.9,0.092761181,0.152046386,0.033475975
59,0.095104783,0.154325354,0.035884212
59.1,0.097480032,0.156637678,0.038322387
59.2,0.099886046,0.158982622,0.04078947
59.3,0.102321905,0.161359434,0.043284375
59.4,0.104786652,0.163767343,0.045805962
59.5,0.107279299,0.166205561,0.048353037
59.6,0.109798819,0.168673287,0.050924351
59.7,0.112344154,0.171169706,0.053518602
59.8,0.114914212,0.17369399,0.056134435
59.9,0.11750787,0.1762453,0.058770441
60,0.120123974,0.178822786,0.061425162
60.1,0.12276134,0.181425591,0.064097088
60.2,0.125418755,0.184052849,0.066784661
60.3,0.12809498,0.186703687,0.069486274
60.4,0.130788752,0.189377228,0.072200276
60.5,0.13349878,0.192072588,0.074924973
60.6,0.136223755,0.194788882,0.077658629
60.7,0.138962346,0.197525219,0.080399472
60.8,0.141713202,0.20028071,0.083145694
60.9,0.144474958,0.203054461,0.085895455
61,0.147246235,0.205845581,0.088646889
61.1,0.150025641,0.208653175,0.091398107
61.2,0.152811776,0.211476354,0.094147199
61.3,0.155603235,0.214314225,0.096892244
61.4,0.158398606,0.217189315,0.099607898
61.5,0.161196481,0.220093229,0.102299732
61.6,0.16399545,0.223009957,0.104980943
61.7,0.166794114,0.225938568,0.107649659
61.8,0.169591078,0.228878131,0.110304025
61.9,0.172384965,0.231827718,0.112942211
62,0.175174409,0.234786403,0.115562416
62.1,0.177958069,0.237753261,0.118162878
62.2,0.180734626,0.24072737,0.120741881
62.3,0.183502786,0.243707814,0.123297758
62.4,0.186261291,0.246693677,0.125828904
62.5,0.189008915,0.249684051,0.128333779
62.6,0.191744474,0.252678032,0.130810916
62.7,0.194466826,0.255674721,0.13325893
