Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
117,8.346910559,3.905934607,4.015107459,4.247115019,2.868046478,4.551789165,3.054287375,2.584293157,3.519399079,1.744815215
118,8.36287827,3.926055784,4.045303351,4.272704,2.900908396,4.590688865,3.065255784,2.607653477,3.54485045,1.778948036
119,8.378845982,3.946282859,4.075499243,4.299072,2.933770314,4.629588565,3.076382751,2.631399912,3.570301822,1.813080857
120,8.394606126,3.966509934,4.107090643,4.32544,2.966632232,4.668488264,3.088288096,2.656756725,3.595753193,1.847213678
121,8.409395892,3.986737009,4.13986364,4.351808,3.001233874,4.708471928,3.100193441,2.682113538,3.621204565,1.881286919
122,8.424185658,4.00705576,4.172636637,4.378176,3.036134823,4.748724661,3.112098787,2.70747035,3.646904889,1.91534991
123,8.438975423,4.027426402,4.205409634,4.40630416,3.071035772,4.788977393,3.124004132,2.732827163,3.672711111,1.949412901
124,8.453765189,4.047797045,4.239652901,4.43498167,3.105936721,4.829230126,3.135972324,2.759399399,3.698517333,1.983475892
125,8.467641658,4.068167688,4.274905754,4.463659179,3.141249666,4.869482859,3.149239351,2.787282386,3.724323556,2.017569121
126,8.481253477,4.088778186,4.310158607,4.492336689,3.177672905,4.909877942,3.162506378,2.815165373,3.750129778,2.05174384
127,8.494865297,4.109531676,4.345411459,4.521014198,3.214096144,4.951269477,3.175773405,2.84304836,3.776172396,2.085918559
128,8.508477117,4.130285165,4.38202183,4.551968032,3.250519383,4.992661013,3.189040432,2.870931347,3.802480304,2.120093277
129,8.521773101,4.151038655,4.41938175,4.583139812,3.286942623,5.034052549,3.202307459,2.90093415,3.828788212,2.154267996
130,8.534541453,4.172419459,4.45674167,4.614311592,3.324076973,5.075444084,3.217096649,2.931574198,3.85509612,2.188702174
131,8.547309806,4.194193874,4.49410159,4.645483371,3.361533694,5.11683562,3.232012685,2.962214246,3.881404028,2.223253974
132,8.560078158,4.215968288,4.53251011,4.676812557,3.398990414,5.158652284,3.246928721,2.992854294,3.907871071,2.257805774
133,8.572846511,4.237742703,4.571377393,4.710478607,3.436447135,5.200990943,3.261844757,3.023646559,3.934839736,2.292357574
134,8.585246751,4.260641441,4.610244677,4.744144657,3.473964268,5.243329602,3.276760793,3.05697576,3.9618084,2.3269801
135,8.597636997,4.284282234,4.64911196,4.777810707,3.511993594,5.28566826,3.293145946,3.090304961,3.988777065,2.362202266
136,8.610027243,4.307923027,4.688499892,4.811476757,3.550022919,5.328006919,3.309898378,3.123634162,4.01574573,2.397424432
137,8.622417489,4.33156382,4.728064128,4.845605093,3.588052244,5.370345578,3.326650811,3.156963363,4.042722723,2.432646599
138,8.634891019,4.356720817,4.767628364,4.881435483,3.62608157,5.413224424,3.343403243,3.19112969,4.070486743,2.467868765
139,8.647426691,4.382929874,4.807192601,4.917265874,3.664213141,5.45626215,3.360155676,3.226889994,4.098250763,2.503565646
140,8.659962362,4.409138931,4.846756837,4.953096264,3.70243799,5.499299876,3.378108925,3.262650298,4.126014783,2.5396956
141,8.672498034,4.435347988,4.886321073,4.988926655,3.740662839,5.542337602,3.396635291,3.298410603,4.153778803,2.575825554
142,8.685136144,4.463309838,4.925885309,5.025338426,3.778887688,5.585375327,3.415161658,3.334170907,4.181542823,2.611955508
143,8.69826806,4.492549766,4.965449546,5.062765678,3.817112537,5.628442458,3.433688024,3.371442098,4.210060941,2.648085461
144,8.711399976,4.521789694,5.004614342,5.100192929,3.855140388,5.671784617,3.45221439,3.409592761,4.238791624,2.685134735
145,8.724531892,4.551029622,5.043708541,5.13762018,3.893155748,5.715126775,3.471660973,3.447743423,4.267522306,2.722242306
